row_index,InvoiceNo,InvoiceDate,InvoiceDateMax,CustomerID,Country,CustomerValueCount,CountryValueCount,SourceLineCount,UniqueProducts,TotalQuantity,AggregatedSourceLineCount,HasCustomerConflict,HasCountryConflict
45,536437,2010-12-01 12:12:00,2010-12-01 12:12:00,13694.0,United Kingdom,1,1,6,6,1004,6,False,False
46,536446,2010-12-01 12:15:00,2010-12-01 12:15:00,15983.0,United Kingdom,1,1,31,28,323,31,False,False
47,536460,2010-12-01 12:22:00,2010-12-01 12:22:00,14849.0,United Kingdom,1,1,14,14,158,14,False,False
48,536463,2010-12-01 12:22:00,2010-12-01 12:22:00,14849.0,United Kingdom,1,1,1,1,12,1,False,False
49,536464,2010-12-01 12:23:00,2010-12-01 12:23:00,17968.0,United Kingdom,1,1,81,74,151,81,False,False
50,536466,2010-12-01 12:23:00,2010-12-01 12:23:00,14849.0,United Kingdom,1,1,2,2,18,2,False,False
51,536477,2010-12-01 12:27:00,2010-12-01 12:27:00,16210.0,United Kingdom,1,1,14,14,1070,14,False,False
52,536488,2010-12-01 12:31:00,2010-12-01 12:31:00,17897.0,United Kingdom,1,1,34,31,71,34,False,False
53,536500,2010-12-01 12:35:00,2010-12-01 12:35:00,17377.0,United Kingdom,1,1,15,15,102,15,False,False
54,536502,2010-12-01 12:36:00,2010-12-01 12:36:00,16552.0,United Kingdom,1,1,5,5,39,5,False,False
55,536508,2010-12-01 12:38:00,2010-12-01 12:38:00,17181.0,United Kingdom,1,1,2,2,216,2,False,False
56,536514,2010-12-01 12:40:00,2010-12-01 12:40:00,17951.0,United Kingdom,1,1,5,5,118,5,False,False
57,536520,2010-12-01 12:43:00,2010-12-01 12:43:00,14729.0,United Kingdom,1,1,71,69,197,71,False,False
58,536521,2010-12-01 12:48:00,2010-12-01 12:48:00,12748.0,United Kingdom,1,1,1,1,1,1,False,False
59,536522,2010-12-01 12:49:00,2010-12-01 12:49:00,15012.0,United Kingdom,1,1,52,46,84,52,False,False
60,536523,2010-12-01 12:50:00,2010-12-01 12:50:00,12868.0,United Kingdom,1,1,12,12,112,12,False,False
61,536524,2010-12-01 12:51:00,2010-12-01 12:51:00,17572.0,United Kingdom,1,1,4,4,24,4,False,False
62,536525,2010-12-01 12:54:00,2010-12-01 12:54:00,14078.0,United Kingdom,1,1,13,13,29,13,False,False
63,536526,2010-12-01 12:58:00,2010-12-01 12:58:00,14001.0,United Kingdom,1,1,9,9,94,9,False,False
64,536528,2010-12-01 13:17:00,2010-12-01 13:17:00,15525.0,United Kingdom,1,1,48,44,113,48,False,False
65,536529,2010-12-01 13:20:00,2010-12-01 13:20:00,14237.0,United Kingdom,1,1,9,9,38,9,False,False
66,536530,2010-12-01 13:21:00,2010-12-01 13:21:00,17905.0,United Kingdom,1,1,22,22,71,22,False,False
67,536531,2010-12-01 13:23:00,2010-12-01 13:23:00,15485.0,United Kingdom,1,1,22,22,391,22,False,False
68,536533,2010-12-01 13:31:00,2010-12-01 13:31:00,16955.0,United Kingdom,1,1,6,6,80,6,False,False
69,536534,2010-12-01 13:33:00,2010-12-01 13:33:00,15350.0,United Kingdom,1,1,5,5,51,5,False,False
70,536535,2010-12-01 13:38:00,2010-12-01 13:38:00,15605.0,United Kingdom,1,1,12,12,71,12,False,False
71,536536,2010-12-01 13:45:00,2010-12-01 13:45:00,18144.0,United Kingdom,1,1,3,3,95,3,False,False
72,536537,2010-12-01 13:51:00,2010-12-01 13:51:00,15922.0,United Kingdom,1,1,11,11,138,11,False,False
73,536538,2010-12-01 13:54:00,2010-12-01 13:54:00,14594.0,United Kingdom,1,1,31,31,146,31,False,False
74,536539,2010-12-01 14:03:00,2010-12-01 14:03:00,15165.0,United Kingdom,1,1,27,27,160,27,False,False
75,536542,2010-12-01 14:11:00,2010-12-01 14:11:00,16456.0,United Kingdom,1,1,16,16,392,16,False,False
76,536544,2010-12-01 14:32:00,2010-12-01 14:32:00,,United Kingdom,0,1,526,522,1207,526,False,False
77,536551,2010-12-01 14:34:00,2010-12-01 14:34:00,17346.0,United Kingdom,1,1,31,29,84,31,False,False
78,536555,2010-12-01 14:37:00,2010-12-01 14:37:00,,United Kingdom,0,1,2,2,2,2,False,False
79,536556,2010-12-01 14:38:00,2010-12-01 14:38:00,17643.0,United Kingdom,1,1,8,8,71,8,False,False
80,536557,2010-12-01 14:41:00,2010-12-01 14:41:00,17841.0,United Kingdom,1,1,64,62,198,64,False,False
81,536558,2010-12-01 14:48:00,2010-12-01 14:48:00,,United Kingdom,0,1,1,1,5,1,False,False
82,536559,2010-12-01 14:54:00,2010-12-01 14:54:00,17873.0,United Kingdom,1,1,8,7,117,8,False,False
83,536560,2010-12-01 15:00:00,2010-12-01 15:00:00,13093.0,United Kingdom,1,1,13,13,256,13,False,False
84,536561,2010-12-01 15:06:00,2010-12-01 15:06:00,12921.0,United Kingdom,1,1,15,15,140,15,False,False
85,536562,2010-12-01 15:08:00,2010-12-01 15:08:00,13468.0,United Kingdom,1,1,18,18,99,18,False,False
86,536563,2010-12-01 15:08:00,2010-12-01 15:08:00,17760.0,United Kingdom,1,1,9,9,165,9,False,False
87,536564,2010-12-01 15:08:00,2010-12-01 15:08:00,13468.0,United Kingdom,1,1,2,2,12,2,False,False
88,536565,2010-12-01 15:15:00,2010-12-01 15:15:00,,United Kingdom,0,1,2,2,2,2,False,False
89,536566,2010-12-01 15:21:00,2010-12-01 15:21:00,16928.0,United Kingdom,1,1,6,6,93,6,False,False
90,536567,2010-12-01 15:27:00,2010-12-01 15:27:00,16048.0,United Kingdom,1,1,7,7,132,7,False,False
91,536568,2010-12-01 15:28:00,2010-12-01 15:28:00,16048.0,United Kingdom,1,1,1,1,12,1,False,False
92,536569,2010-12-01 15:35:00,2010-12-01 15:35:00,16274.0,United Kingdom,1,1,63,63,151,63,False,False
93,536570,2010-12-01 15:35:00,2010-12-01 15:35:00,14496.0,United Kingdom,1,1,5,5,86,5,False,False
94,536571,2010-12-01 15:37:00,2010-12-01 15:37:00,14696.0,United Kingdom,1,1,18,18,284,18,False,False
95,536572,2010-12-01 15:40:00,2010-12-01 15:40:00,16539.0,United Kingdom,1,1,21,21,301,21,False,False
96,536573,2010-12-01 15:45:00,2010-12-01 15:45:00,17025.0,United Kingdom,1,1,4,4,136,4,False,False
97,536574,2010-12-01 15:46:00,2010-12-01 15:46:00,17025.0,United Kingdom,1,1,1,1,3,1,False,False
98,536575,2010-12-01 16:01:00,2010-12-01 16:01:00,13777.0,United Kingdom,1,1,8,8,858,8,False,False
99,536576,2010-12-01 16:11:00,2010-12-01 16:11:00,13777.0,United Kingdom,1,1,16,16,1122,16,False,False
100,536577,2010-12-01 16:13:00,2010-12-01 16:13:00,13777.0,United Kingdom,1,1,4,4,388,4,False,False
101,536578,2010-12-01 16:15:00,2010-12-01 16:15:00,17690.0,United Kingdom,1,1,8,8,104,8,False,False
102,536579,2010-12-01 16:16:00,2010-12-01 16:16:00,13777.0,United Kingdom,1,1,2,2,276,2,False,False
103,536580,2010-12-01 16:17:00,2010-12-01 16:17:00,17690.0,United Kingdom,1,1,6,6,66,6,False,False
104,536581,2010-12-01 16:19:00,2010-12-01 16:19:00,13777.0,United Kingdom,1,1,1,1,200,1,False,False
105,536582,2010-12-01 16:21:00,2010-12-01 16:21:00,12947.0,United Kingdom,1,1,17,17,184,17,False,False
106,536583,2010-12-01 16:21:00,2010-12-01 16:21:00,13777.0,United Kingdom,1,1,1,1,120,1,False,False
107,536584,2010-12-01 16:22:00,2010-12-01 16:22:00,13777.0,United Kingdom,1,1,1,1,384,1,False,False
108,536585,2010-12-01 16:24:00,2010-12-01 16:24:00,17460.0,United Kingdom,1,1,1,1,2,1,False,False
109,536586,2010-12-01 16:25:00,2010-12-01 16:25:00,18229.0,United Kingdom,1,1,7,7,44,7,False,False
110,536587,2010-12-01 16:33:00,2010-12-01 16:33:00,14142.0,United Kingdom,1,1,22,22,313,22,False,False
111,536588,2010-12-01 16:49:00,2010-12-01 16:49:00,17069.0,United Kingdom,1,1,11,11,103,11,False,False
112,536590,2010-12-01 16:52:00,2010-12-01 16:52:00,13065.0,United Kingdom,1,1,14,14,74,14,False,False
113,536591,2010-12-01 16:57:00,2010-12-01 16:58:00,14606.0,United Kingdom,1,1,40,40,93,40,False,False
114,536592,2010-12-01 17:06:00,2010-12-01 17:06:00,,United Kingdom,0,1,591,589,1477,591,False,False
115,536593,2010-12-01 17:15:00,2010-12-01 17:15:00,16835.0,United Kingdom,1,1,5,5,19,5,False,False
116,536594,2010-12-01 17:22:00,2010-12-01 17:22:00,15235.0,United Kingdom,1,1,5,5,34,5,False,False
117,536595,2010-12-01 17:24:00,2010-12-01 17:24:00,13576.0,United Kingdom,1,1,11,11,108,11,False,False
118,536596,2010-12-01 17:29:00,2010-12-01 17:29:00,,United Kingdom,0,1,6,6,9,6,False,False
119,536597,2010-12-01 17:35:00,2010-12-01 17:35:00,18011.0,United Kingdom,1,1,28,28,71,28,False,False
120,536598,2010-12-02 07:48:00,2010-12-02 07:48:00,13090.0,United Kingdom,1,1,4,4,76,4,False,False
121,536599,2010-12-02 07:49:00,2010-12-02 07:49:00,15694.0,United Kingdom,1,1,6,6,80,6,False,False
122,536600,2010-12-02 08:32:00,2010-12-02 08:32:00,17850.0,United Kingdom,1,1,12,12,56,12,False,False
123,536601,2010-12-02 08:33:00,2010-12-02 08:33:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
124,536602,2010-12-02 08:34:00,2010-12-02 08:34:00,17850.0,United Kingdom,1,1,12,12,64,12,False,False
125,536603,2010-12-02 08:40:00,2010-12-02 08:40:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
126,536604,2010-12-02 08:43:00,2010-12-02 08:43:00,14741.0,United Kingdom,1,1,9,9,114,9,False,False
127,536605,2010-12-02 08:52:00,2010-12-02 08:52:00,13715.0,United Kingdom,1,1,15,15,107,15,False,False
128,536607,2010-12-02 09:29:00,2010-12-02 09:29:00,17732.0,United Kingdom,1,1,18,18,93,18,False,False
129,536608,2010-12-02 09:37:00,2010-12-02 09:37:00,12855.0,United Kingdom,1,1,3,3,30,3,False,False
130,536609,2010-12-02 09:41:00,2010-12-02 09:41:00,17850.0,United Kingdom,1,1,16,16,88,16,False,False
131,536610,2010-12-02 09:42:00,2010-12-02 09:42:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
132,536611,2010-12-02 09:43:00,2010-12-02 09:43:00,15752.0,United Kingdom,1,1,14,14,153,14,False,False
133,536612,2010-12-02 09:44:00,2010-12-02 09:44:00,17850.0,United Kingdom,1,1,15,15,82,15,False,False
134,536613,2010-12-02 09:44:00,2010-12-02 09:44:00,17855.0,United Kingdom,1,1,17,17,197,17,False,False
135,536614,2010-12-02 09:44:00,2010-12-02 09:44:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
136,536615,2010-12-02 10:09:00,2010-12-02 10:09:00,14047.0,United Kingdom,1,1,12,12,108,12,False,False
137,536616,2010-12-02 10:10:00,2010-12-02 10:10:00,17925.0,United Kingdom,1,1,1,1,72,1,False,False
138,536617,2010-12-02 10:17:00,2010-12-02 10:17:00,13941.0,United Kingdom,1,1,11,11,644,11,False,False
139,536618,2010-12-02 10:17:00,2010-12-02 10:17:00,17017.0,United Kingdom,1,1,21,21,600,21,False,False
140,536619,2010-12-02 10:18:00,2010-12-02 10:18:00,17017.0,United Kingdom,1,1,2,2,48,2,False,False
141,536620,2010-12-02 10:27:00,2010-12-02 10:27:00,14135.0,United Kingdom,1,1,23,23,741,23,False,False
142,536621,2010-12-02 10:35:00,2010-12-02 10:35:00,13108.0,United Kingdom,1,1,10,10,298,10,False,False
143,536623,2010-12-02 10:39:00,2010-12-02 10:39:00,15601.0,United Kingdom,1,1,48,48,666,48,False,False
144,536624,2010-12-02 10:45:00,2010-12-02 10:45:00,13418.0,United Kingdom,1,1,22,22,228,22,False,False
145,536626,2010-12-02 10:46:00,2010-12-02 10:46:00,13418.0,United Kingdom,1,1,1,1,6,1,False,False
146,536627,2010-12-02 10:53:00,2010-12-02 10:53:00,15658.0,United Kingdom,1,1,14,14,64,14,False,False
147,536628,2010-12-02 10:54:00,2010-12-02 10:54:00,17850.0,United Kingdom,1,1,16,16,86,16,False,False
148,536629,2010-12-02 10:55:00,2010-12-02 10:55:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
149,536630,2010-12-02 10:56:00,2010-12-02 10:56:00,17850.0,United Kingdom,1,1,16,16,88,16,False,False
150,536631,2010-12-02 10:58:00,2010-12-02 10:58:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
151,536632,2010-12-02 11:02:00,2010-12-02 11:02:00,14388.0,United Kingdom,1,1,21,21,170,21,False,False
152,536633,2010-12-02 11:20:00,2010-12-02 11:20:00,14901.0,United Kingdom,1,1,18,18,105,18,False,False
153,536634,2010-12-02 11:21:00,2010-12-02 11:21:00,18041.0,United Kingdom,1,1,14,14,159,14,False,False
154,536635,2010-12-02 11:22:00,2010-12-02 11:22:00,15955.0,United Kingdom,1,1,20,20,246,20,False,False
155,536636,2010-12-02 11:23:00,2010-12-02 11:23:00,15070.0,United Kingdom,1,1,1,1,36,1,False,False
156,536637,2010-12-02 11:35:00,2010-12-02 11:35:00,18041.0,United Kingdom,1,1,59,55,157,59,False,False
157,536638,2010-12-02 11:41:00,2010-12-02 11:41:00,16244.0,United Kingdom,1,1,63,63,619,63,False,False
158,536639,2010-12-02 11:45:00,2010-12-02 11:45:00,15111.0,United Kingdom,1,1,16,16,106,16,False,False
159,536640,2010-12-02 11:45:00,2010-12-02 11:45:00,,United Kingdom,0,1,11,11,11,11,False,False
160,536641,2010-12-02 11:46:00,2010-12-02 11:46:00,12748.0,United Kingdom,1,1,1,1,1,1,False,False
161,536643,2010-12-02 11:57:00,2010-12-02 11:57:00,14390.0,United Kingdom,1,1,27,26,74,27,False,False
162,536663,2010-12-02 12:07:00,2010-12-02 12:07:00,16546.0,United Kingdom,1,1,6,6,156,6,False,False
163,536667,2010-12-02 12:09:00,2010-12-02 12:09:00,15260.0,United Kingdom,1,1,16,16,214,16,False,False
164,536670,2010-12-02 12:09:00,2010-12-02 12:09:00,15260.0,United Kingdom,1,1,1,1,40,1,False,False
165,536671,2010-12-02 12:10:00,2010-12-02 12:10:00,13305.0,United Kingdom,1,1,5,5,132,5,False,False
166,536672,2010-12-02 12:10:00,2010-12-02 12:10:00,14491.0,United Kingdom,1,1,4,4,40,4,False,False
167,536673,2010-12-02 12:11:00,2010-12-02 12:11:00,14060.0,United Kingdom,1,1,8,8,504,8,False,False
168,536674,2010-12-02 12:16:00,2010-12-02 12:16:00,15923.0,United Kingdom,1,1,21,21,122,21,False,False
169,536676,2010-12-02 12:18:00,2010-12-02 12:18:00,16752.0,United Kingdom,1,1,9,9,54,9,False,False
170,536681,2010-12-02 12:22:00,2010-12-02 12:22:00,17287.0,United Kingdom,1,1,13,13,46,13,False,False
171,536685,2010-12-02 12:23:00,2010-12-02 12:23:00,17850.0,United Kingdom,1,1,17,17,108,17,False,False
172,536688,2010-12-02 12:24:00,2010-12-02 12:24:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
173,536690,2010-12-02 12:25:00,2010-12-02 12:25:00,17850.0,United Kingdom,1,1,17,17,92,17,False,False
174,536693,2010-12-02 12:26:00,2010-12-02 12:26:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
175,536698,2010-12-02 12:28:00,2010-12-02 12:28:00,15363.0,United Kingdom,1,1,16,16,144,16,False,False
176,536707,2010-12-02 12:33:00,2010-12-02 12:33:00,12915.0,United Kingdom,1,1,13,13,41,13,False,False
177,536732,2010-12-02 12:47:00,2010-12-02 12:47:00,15544.0,United Kingdom,1,1,26,26,274,26,False,False
178,536733,2010-12-02 12:50:00,2010-12-02 12:50:00,15738.0,United Kingdom,1,1,14,14,255,14,False,False
179,536735,2010-12-02 12:58:00,2010-12-02 12:58:00,17381.0,United Kingdom,1,1,1,1,128,1,False,False
180,536736,2010-12-02 12:59:00,2010-12-02 12:59:00,17381.0,United Kingdom,1,1,5,5,1296,5,False,False
181,536738,2010-12-02 13:06:00,2010-12-02 13:06:00,15827.0,United Kingdom,1,1,7,7,42,7,False,False
182,536739,2010-12-02 13:08:00,2010-12-02 13:08:00,14180.0,United Kingdom,1,1,12,12,31,12,False,False
183,536740,2010-12-02 13:08:00,2010-12-02 13:08:00,15827.0,United Kingdom,1,1,7,7,67,7,False,False
184,536741,2010-12-02 13:11:00,2010-12-02 13:11:00,13117.0,United Kingdom,1,1,15,15,130,15,False,False
185,536742,2010-12-02 13:14:00,2010-12-02 13:14:00,16916.0,United Kingdom,1,1,49,48,102,49,False,False
186,536743,2010-12-02 13:32:00,2010-12-02 13:32:00,17964.0,United Kingdom,1,1,35,35,195,35,False,False
187,536744,2010-12-02 13:36:00,2010-12-02 13:36:00,14466.0,United Kingdom,1,1,10,10,137,10,False,False
188,536745,2010-12-02 13:38:00,2010-12-02 13:38:00,17235.0,United Kingdom,1,1,10,10,126,10,False,False
189,536746,2010-12-02 13:39:00,2010-12-02 13:39:00,16510.0,United Kingdom,1,1,13,13,92,13,False,False
190,536747,2010-12-02 13:44:00,2010-12-02 13:44:00,17802.0,United Kingdom,1,1,12,12,75,12,False,False
191,536748,2010-12-02 13:45:00,2010-12-02 13:45:00,15107.0,United Kingdom,1,1,5,5,26,5,False,False
192,536749,2010-12-02 13:49:00,2010-12-02 13:49:00,17976.0,United Kingdom,1,1,57,56,93,57,False,False
193,536750,2010-12-02 14:04:00,2010-12-02 14:04:00,17850.0,United Kingdom,1,1,19,19,118,19,False,False
194,536751,2010-12-02 14:05:00,2010-12-02 14:05:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
195,536752,2010-12-02 14:06:00,2010-12-02 14:06:00,17850.0,United Kingdom,1,1,19,19,104,19,False,False
196,536753,2010-12-02 14:07:00,2010-12-02 14:07:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
197,536754,2010-12-02 14:09:00,2010-12-02 14:09:00,14449.0,United Kingdom,1,1,50,50,142,50,False,False
198,536755,2010-12-02 14:14:00,2010-12-02 14:14:00,,United Kingdom,0,1,15,15,15,15,False,False
199,536756,2010-12-02 14:23:00,2010-12-02 14:23:00,,United Kingdom,0,1,19,19,23,19,False,False
200,536759,2010-12-02 14:26:00,2010-12-02 14:26:00,16781.0,United Kingdom,1,1,17,17,113,17,False,False
201,536761,2010-12-02 14:30:00,2010-12-02 14:30:00,13491.0,United Kingdom,1,1,7,7,36,7,False,False
202,536762,2010-12-02 14:40:00,2010-12-02 14:40:00,16186.0,United Kingdom,1,1,20,20,231,20,False,False
203,536763,2010-12-02 14:42:00,2010-12-02 14:42:00,17685.0,United Kingdom,1,1,12,12,331,12,False,False
204,536769,2010-12-02 14:47:00,2010-12-02 14:47:00,17581.0,United Kingdom,1,1,31,31,375,31,False,False
205,536771,2010-12-02 14:49:00,2010-12-02 14:49:00,17581.0,United Kingdom,1,1,7,7,66,7,False,False
206,536777,2010-12-02 15:00:00,2010-12-02 15:00:00,15732.0,United Kingdom,1,1,5,5,97,5,False,False
207,536778,2010-12-02 15:03:00,2010-12-02 15:03:00,13138.0,United Kingdom,1,1,14,14,125,14,False,False
208,536780,2010-12-02 15:09:00,2010-12-02 15:09:00,,United Kingdom,0,1,4,4,4,4,False,False
209,536781,2010-12-02 15:14:00,2010-12-02 15:14:00,17460.0,United Kingdom,1,1,1,1,24,1,False,False
210,536782,2010-12-02 15:18:00,2010-12-02 15:18:00,17567.0,United Kingdom,1,1,27,27,244,27,False,False
211,536783,2010-12-02 15:19:00,2010-12-02 15:19:00,15061.0,United Kingdom,1,1,38,38,2909,38,False,False
212,536784,2010-12-02 15:20:00,2010-12-02 15:20:00,15061.0,United Kingdom,1,1,25,25,1330,25,False,False
213,536785,2010-12-02 15:22:00,2010-12-02 15:22:00,15061.0,United Kingdom,1,1,6,6,1008,6,False,False
214,536786,2010-12-02 15:23:00,2010-12-02 15:23:00,15061.0,United Kingdom,1,1,2,2,144,2,False,False
215,536787,2010-12-02 15:24:00,2010-12-02 15:24:00,17850.0,United Kingdom,1,1,13,13,76,13,False,False
216,536788,2010-12-02 15:25:00,2010-12-02 15:25:00,15061.0,United Kingdom,1,1,1,1,60,1,False,False
217,536789,2010-12-02 15:25:00,2010-12-02 15:25:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
218,536790,2010-12-02 15:26:00,2010-12-02 15:26:00,17850.0,United Kingdom,1,1,17,17,141,17,False,False
219,536791,2010-12-02 15:27:00,2010-12-02 15:27:00,17850.0,United Kingdom,1,1,2,2,24,2,False,False
220,536792,2010-12-02 15:28:00,2010-12-02 15:28:00,15061.0,United Kingdom,1,1,1,1,24,1,False,False
221,536793,2010-12-02 15:39:00,2010-12-02 15:39:00,16203.0,United Kingdom,1,1,11,11,70,11,False,False
222,536794,2010-12-02 15:40:00,2010-12-02 15:40:00,13767.0,United Kingdom,1,1,4,4,96,4,False,False
223,536795,2010-12-02 15:40:00,2010-12-02 15:40:00,15640.0,United Kingdom,1,1,7,7,180,7,False,False
224,536796,2010-12-02 15:46:00,2010-12-02 15:46:00,15574.0,United Kingdom,1,1,105,96,159,105,False,False
225,536797,2010-12-02 15:49:00,2010-12-02 15:49:00,16770.0,United Kingdom,1,1,6,6,56,6,False,False
226,536798,2010-12-02 15:55:00,2010-12-02 15:55:00,17838.0,United Kingdom,1,1,29,29,454,29,False,False
227,536799,2010-12-02 16:00:00,2010-12-02 16:00:00,17228.0,United Kingdom,1,1,18,18,122,18,False,False
228,536800,2010-12-02 16:12:00,2010-12-02 16:12:00,14829.0,United Kingdom,1,1,19,19,190,19,False,False
229,536801,2010-12-02 16:12:00,2010-12-02 16:12:00,,United Kingdom,0,1,14,14,134,14,False,False
230,536802,2010-12-02 16:29:00,2010-12-02 16:29:00,17412.0,United Kingdom,1,1,8,8,50,8,False,False
231,536804,2010-12-02 16:34:00,2010-12-02 16:34:00,14031.0,United Kingdom,1,1,25,25,531,25,False,False
232,536805,2010-12-02 16:38:00,2010-12-02 16:38:00,14775.0,United Kingdom,1,1,20,20,384,20,False,False
233,536806,2010-12-02 16:42:00,2010-12-02 16:42:00,12971.0,United Kingdom,1,1,5,5,84,5,False,False
